source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]
T4	Equus caballus	oocyte	11	oocyte	Not available	Not applicable	T4	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064363_AurEl8_PM8_CMB-1696_Treatment_rep1_15_BC7_1_11301.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0
T5	Equus caballus	oocyte	12	oocyte	Not available	Not applicable	T5	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064365_AurEl8_PM8_CMB-1696_Treatment_rep2_27_BE4_1_11303.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T6	Equus caballus	oocyte	13	oocyte	Not available	Not applicable	T6	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064367_AurEl8_PM8_CMB-1696_Treatment_rep2_30_BE7_1_11305.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T7	Equus caballus	oocyte	14	oocyte	Not available	Not applicable	T7	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064369_AurEl8_PM8_CMB-1696_Treatment_rep2_28_BE5_1_11307.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C8	Equus caballus	oocyte	15	oocyte	Not available	Not applicable	C8	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064371_AurEl8_PM8_CMB-1696_Control_rep2_19_BD4_1_11309.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C9	Equus caballus	oocyte	16	oocyte	Not available	Not applicable	C9	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064375_AurEl8_PM8_CMB-1696_Control_rep2_17_BD2_1_11313.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C10	Equus caballus	oocyte	17	oocyte	Not available	Not applicable	C10	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064377_AurEl8_PM8_CMB-1696_Control_rep2_20_BD5_1_11315.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T8	Equus caballus	oocyte	18	oocyte	Not available	Not applicable	T8	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064401_AurEl8_PM8_CMB-1696_Treatment_rep3_47_BG8_1_11339.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C11	Equus caballus	oocyte	19	oocyte	Not available	Not applicable	C11	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064403_AurEl8_PM8_CMB-1696_Control_rep3_37_BF6_1_11341.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T9	Equus caballus	oocyte	20	oocyte	Not available	Not applicable	T9	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064405_AurEl8_PM8_CMB-1696_Treatment_rep3_46_BG7_1_11343.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C12	Equus caballus	oocyte	21	oocyte	Not available	Not applicable	C12	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064411_AurEl8_PM8_CMB-1696_Control_rep3_40_BF9_1_11349.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T10	Equus caballus	oocyte	22	oocyte	Not available	Not applicable	T10	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064415_AurEl8_PM8_CMB-1696_Treatment_rep3_50_BG11_1_11353.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T11	Equus caballus	oocyte	23	oocyte	Not available	Not applicable	T11	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064417_AurEl8_PM8_CMB-1696_Treatment_rep3_41_BG2_1_11355.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T12	Equus caballus	oocyte	24	oocyte	Not available	Not applicable	T12	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064425_AurEl8_PM8_CMB-1696_Treatment_rep3_42_BG3_1_11363.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T13	Equus caballus	oocyte	25	oocyte	Not available	Not applicable	T13	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064427_AurEl8_PM8_CMB-1696_Treatment_rep3_45_BG6_1_11365.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C13	Equus caballus	oocyte	26	oocyte	Not available	Not applicable	C13	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064379_AurEl8_PM8_CMB-1696_Control_rep2_22_BD7_1_11317.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T14	Equus caballus	oocyte	27	oocyte	Not available	Not applicable	T14	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064381_AurEl8_PM8_CMB-1696_Treatment_rep2_29_BE6_1_11319.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C14	Equus caballus	oocyte	28	oocyte	Not available	Not applicable	C14	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064383_AurEl8_PM8_CMB-1696_Control_rep2_21_BD6_1_11321.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C15	Equus caballus	oocyte	29	oocyte	Not available	Not applicable	C15	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064385_AurEl8_PM8_CMB-1696_Control_rep2_24_BD9_1_11323.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C16	Equus caballus	oocyte	30	oocyte	Not available	Not applicable	C16	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064387_AurEl8_PM8_CMB-1696_Control_rep2_18_BD3_1_11325.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T15	Equus caballus	oocyte	31	oocyte	Not available	Not applicable	T15	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064389_AurEl8_PM8_CMB-1696_Treatment_rep2_25_BE2_1_11327.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
C17	Equus caballus	oocyte	32	oocyte	Not available	Not applicable	C17	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064391_AurEl8_PM8_CMB-1696_Control_rep2_23_BD8_1_11329.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T16	Equus caballus	oocyte	33	oocyte	Not available	Not applicable	T16	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064393_AurEl8_PM8_CMB-1696_Treatment_rep2_31_BE8_1_11331.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0
T17	Equus caballus	oocyte	34	oocyte	Not available	Not applicable	T17	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064397_AurEl8_PM8_CMB-1696_Treatment_rep3_49_BG10_1_11335.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C18	Equus caballus	oocyte	35	oocyte	Not available	Not applicable	C18	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064429_AurEl8_PM8_CMB-1696_Control_rep3_39_BF8_1_11367.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C19	Equus caballus	oocyte	36	oocyte	Not available	Not applicable	C19	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064407_AurEl8_PM8_CMB-1696_Control_rep3_35_BF4_1_11345.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T18	Equus caballus	oocyte	37	oocyte	Not available	Not applicable	T18	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064419_AurEl8_PM8_CMB-1696_Treatment_rep3_48_BG9_1_11357.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C20	Equus caballus	oocyte	38	oocyte	Not available	Not applicable	C20	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064421_AurEl8_PM8_CMB-1696_Control_rep3_33_BF2_1_11359.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C21	Equus caballus	oocyte	39	oocyte	Not available	Not applicable	C21	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064423_AurEl8_PM8_CMB-1696_Control_rep3_38_BF7_1_11361.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C22	Equus caballus	oocyte	40	oocyte	Not available	Not applicable	C22	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064431_AurEl8_PM8_CMB-1696_Control_rep3_34_BF3_1_11369.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T19	Equus caballus	oocyte	41	oocyte	Not available	Not applicable	T19	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064433_AurEl8_PM8_CMB-1696_Treatment_rep3_51_BG12_1_11371.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T20	Equus caballus	oocyte	42	oocyte	Not available	Not applicable	T20	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064399_AurEl8_PM8_CMB-1696_Treatment_rep3_44_BG5_1_11337.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
T21	Equus caballus	oocyte	43	oocyte	Not available	Not applicable	T21	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064409_AurEl8_PM8_CMB-1696_Treatment_rep3_43_BG4_1_11347.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
C23	Equus caballus	oocyte	44	oocyte	Not available	Not applicable	C23	proteomic profiling by mass spectrometry	Trypsin/Lys-C	T064413_AurEl8_PM8_CMB-1696_Control_rep3_36_BF5_1_11351.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0
